pref_id,pref_name,year,month,year_month,n_leave_m,n_leave_f,pop,pop75,oldshare75,n_need,facility_users,u_rate,n_ei,date,moy,w_total,ln_ratio_mf,t_index,ln_ei,ln_need,ln_fac,z_u_rate,z_ln_ei,z_ln_need,z_ln_fac,z_oldshare75
34,Hiroshima,2017,11,201711,9,23,2829000,402000,0.142,76539,21617,2.2,1004457,2017-11-01,11,32,-0.905708622543618,3,13.819957654954,11.2455556938303,9.98123532115805,-0.614176475159537,0.721729720518505,0.511043209330743,0.496954791071735,-0.257172414792549
35,Yamaguchi,2017,11,201711,1,12,1383000,238000,0.172,43546,12678,2,404052,2017-11-01,11,13,-2.12026353620009,3,12.9092988615318,10.6815731296123,9.44762348684411,-0.891570294570933,-0.359451082483975,-0.343852869329929,-0.36225949284429,1.19110758463828
36,Tokushima,2017,11,201711,2,7,743000,125000,0.168,26516,8211,2.4,198801,2017-11-01,11,9,-1.09861228866811,3,12.200059603373,10.1855036033613,9.01322999770879,-0.336782655748142,-1.20149628777461,-1.09580500338748,-1.0617137903395,0.998003584714173
37,Kagawa,2017,11,201711,1,12,967000,152000,0.157,30430,9331,2.4,322880,2017-11-01,11,13,-2.12026353620009,3,12.6850360161474,10.323184242891,9.14109746923402,-0.336782655748142,-0.625707428996742,-0.887105929499171,-0.855823382897623,0.466967584922867
38,Ehime,2017,11,201711,1,11,1364000,225000,0.165,46090,11997,2.3,404018,2017-11-01,11,12,-2.03688192726104,3,12.9092147104062,10.7383512857146,9.39241189751493,-0.47547956545384,-0.359550991014123,-0.257787401911218,-0.451160418833557,0.853175584771089
39,Kochi,2017,11,201711,2,6,714000,129000,0.181,25844,8040,2.5,197714,2017-11-01,11,8,-0.955511445027436,3,12.1945768210167,10.1598337446781,8.99218436217301,-0.198085746042444,-1.20800572805406,-1.13471588985875,-1.09560117720692,1.62559158446753
40,Fukuoka,2017,11,201711,18,43,5107000,679000,0.133,126732,37278,3.2,1703976,2017-11-01,11,61,-0.854990206010359,3,14.3484749017652,11.7498298995345,10.5261586192918,0.77279262189744,1.34921248951539,1.27543216100677,1.37438263522191,-0.691656414621798
41,Saga,2017,11,201711,2,3,824000,125000,0.152,20944,6745,2.3,237325,2017-11-01,11,5,-0.336472236621213,3,12.37718578875,9.94960748814968,8.81655676864186,-0.47547956545384,-0.991203000407397,-1.45338106452917,-1.37839426256977,0.225587585017729
42,Nagasaki,2017,11,201711,3,8,1354000,222000,0.164,43003,11851,2.1,368254,2017-11-01,11,11,-0.887303195000903,3,12.8165281964519,10.6690251596839,9.38016753118845,-0.752873384865235,-0.46959317180506,-0.362873333733404,-0.470876125586458,0.804899584790062
43,Kumamoto,2017,11,201711,4,18,1765000,282000,0.16,56341,15569,2.4,481520,2017-11-01,11,22,-1.41369333530801,3,13.0847030462217,10.9391777906516,9.65303703668967,-0.336782655748142,-0.151202242608052,0.046629440832596,-0.0315054788068746,0.611795584865951
